CustomerID,Gender,Age,Annual Income,Spending Score
253,Female,34,30,96
254,Female,41,89,21
255,Male,53,22,15
256,Female,67,33,88
257,Male,32,126,5
258,Male,69,76,86
259,Male,39,57,42
260,Male,19,147,15
261,Male,65,48,28
262,Female,58,79,59
263,Female,43,120,97
264,Female,49,57,82
265,Male,43,136,89
266,Female,43,37,49
267,Female,42,119,53
268,Male,47,93,96
269,Female,44,135,14
270,Female,19,78,56
271,Female,47,106,90
272,Male,54,99,67
273,Female,64,144,90
274,Male,70,88,13
275,Female,22,123,89
276,Male,19,38,99
277,Female,68,109,29
278,Female,19,95,72
279,Female,43,131,98
280,Male,19,85,43
281,Female,53,54,24
282,Female,44,108,91
283,Female,63,129,81
284,Female,53,18,50
285,Female,34,127,84
286,Female,49,37,27
287,Male,53,23,90
288,Male,69,70,53
289,Female,54,129,32
290,Male,43,62,30
291,Female,49,22,16
292,Male,43,40,57
293,Male,23,129,11
294,Female,47,17,50
295,Female,54,66,47
296,Male,21,107,76
297,Female,48,143,22
298,Female,29,122,38
299,Male,24,124,75
300,Male,38,46,9
301,Female,32,129,62
302,Male,67,35,60
303,Male,33,72,62
304,Male,19,144,87
305,Male,43,64,72
306,Female,56,30,72
307,Male,53,33,88
308,Male,69,57,39
309,Female,29,69,71
310,Male,26,24,83
311,Male,26,56,33
312,Male,31,37,38
313,Female,65,25,98
314,Male,29,133,93
315,Male,68,148,88
316,Female,45,129,87
317,Female,22,41,1
318,Male,41,115,68
319,Male,37,43,29
320,Female,45,71,63
321,Male,43,99,5
322,Female,56,41,26
323,Female,70,112,74
324,Male,39,83,60
325,Male,40,76,56
326,Male,18,30,26
327,Male,56,148,23
328,Female,28,81,28
329,Male,56,141,45
330,Female,50,125,31
331,Female,46,104,41
332,Male,57,76,7
333,Female,62,84,86
334,Female,24,93,77
335,Female,60,52,36
336,Male,58,59,87
337,Male,45,37,45
338,Female,68,37,23
339,Male,53,26,29
340,Male,62,20,8
341,Male,39,122,63
342,Female,42,17,26
343,Male,24,63,14
344,Female,28,71,42
345,Male,48,72,76
346,Male,65,108,33
347,Male,20,95,77
348,Male,25,104,97
349,Female,47,57,64
350,Male,48,57,85
351,Male,60,135,52
352,Female,26,37,56
353,Female,36,53,60
354,Male,63,87,83
355,Female,70,143,32
356,Male,69,117,99
357,Female,63,66,59
358,Male,44,136,72
359,Male,61,52,42
360,Male,65,76,90
361,Male,60,38,75
362,Female,40,116,93
363,Male,48,31,81
364,Female,69,43,5
365,Male,62,129,83
366,Male,56,143,87
367,Female,52,52,68
368,Male,51,79,83
369,Male,63,81,35
370,Female,21,102,71
371,Male,57,98,32
372,Female,51,93,19
373,Male,46,114,21
374,Female,22,56,34
375,Female,52,46,69
376,Male,51,72,13
377,Female,68,100,68
378,Male,58,142,57
379,Female,28,70,43
380,Female,52,41,93
381,Female,58,61,88
382,Female,35,74,15
383,Female,36,133,49
384,Female,61,16,59
385,Female,61,150,38
386,Male,25,83,46
387,Male,61,49,20
388,Male,52,44,81
389,Male,39,70,67
390,Male,68,88,83
391,Male,33,146,60
392,Male,55,62,87
393,Female,42,55,34
394,Male,20,63,60
395,Male,23,132,99
396,Female,33,108,19
397,Male,70,95,73
398,Male,44,17,16
399,Female,21,69,25
400,Male,33,91,61
401,Male,46,82,93
402,Male,49,94,2
403,Male,65,91,29
404,Female,48,34,30
405,Female,22,144,10
406,Male,47,77,6
407,Male,46,27,20
408,Female,59,139,78
409,Male,45,56,83
410,Male,62,34,26
411,Male,28,90,7
412,Male,65,15,81
413,Male,29,126,45
414,Male,44,88,67
415,Female,43,38,19
416,Female,57,57,73
417,Female,45,89,74
418,Male,69,86,21
419,Female,46,16,15
420,Male,38,64,85
421,Female,46,36,30
422,Female,58,68,10
423,Male,19,78,68
424,Female,40,97,18
425,Male,39,60,67
426,Male,44,89,40
427,Female,43,43,48
428,Male,25,75,27
429,Female,69,139,65
430,Male,51,40,53
431,Male,50,133,11
432,Male,70,127,63
433,Female,54,82,80
434,Male,68,47,59
435,Female,43,32,89
436,Male,26,142,85
437,Male,50,124,96
438,Female,55,149,6
439,Female,54,51,72
440,Female,34,80,68
441,Male,61,20,3
442,Female,64,85,39
443,Female,52,89,15
444,Female,64,90,76
445,Male,43,21,12
446,Male,21,111,6
447,Female,40,64,94
448,Male,28,90,28
449,Female,20,150,81
450,Female,56,48,78
451,Male,59,104,33
452,Male,37,55,96
453,Male,42,70,50
454,Female,51,61,16
455,Female,43,133,32
456,Female,69,102,15
457,Female,45,92,88
458,Male,60,33,39
459,Male,66,132,55
460,Female,48,146,66
461,Female,48,49,61
462,Male,65,99,53
463,Female,38,83,42
464,Female,51,45,18
465,Female,30,129,56
466,Male,23,15,97
467,Male,63,24,92
468,Male,61,97,55
469,Male,38,55,45
470,Female,22,62,79
471,Female,46,23,22
472,Male,51,97,18
473,Male,19,106,26
474,Male,34,50,21
475,Female,62,122,46
476,Female,30,87,81
477,Male,53,112,98
478,Male,20,144,45
479,Male,27,29,30
480,Male,70,20,33
481,Male,60,102,20
482,Female,68,63,70
483,Female,27,94,92
484,Female,42,100,34
485,Female,70,21,54
486,Male,30,149,52
487,Male,32,89,51
488,Female,29,98,36
489,Female,31,50,96
490,Female,59,138,27
491,Female,56,35,11
492,Male,58,60,69
493,Male,45,87,64
494,Female,22,54,24
495,Female,26,45,3
496,Female,21,150,65
497,Male,39,146,5
498,Male,31,25,32
499,Female,67,75,24
500,Male,66,116,15
501,Male,25,18,53
502,Male,70,64,10
503,Female,61,52,41
504,Female,19,149,96
505,Male,68,117,53
506,Male,50,63,81
507,Male,26,27,43
508,Female,23,48,47
509,Female,62,49,78
510,Male,65,17,46
511,Female,64,133,70
512,Male,69,104,24
513,Female,66,141,15
514,Male,39,149,62
515,Female,38,82,8
516,Male,67,35,7
517,Male,70,36,11
518,Male,39,138,43
519,Female,58,63,25
520,Male,37,34,67
521,Female,29,61,11
522,Female,35,83,78
523,Male,25,66,54
524,Female,68,132,77
525,Male,61,46,12
526,Male,65,30,88
527,Female,64,33,23
528,Male,34,86,42
529,Male,66,100,72
530,Male,61,114,85
531,Male,56,27,42
532,Female,65,113,18
533,Male,50,108,98
534,Male,57,64,37
535,Male,63,78,77
536,Male,57,73,1
537,Male,60,118,72
538,Female,44,128,21
539,Male,58,120,68
540,Female,32,32,41
541,Male,66,47,42
542,Male,38,35,33
543,Female,62,46,41
544,Male,30,22,12
545,Female,56,40,52
546,Female,43,42,69
547,Male,36,23,57
548,Female,18,61,5
549,Male,44,86,15
550,Male,28,124,49
551,Female,51,141,37
552,Female,34,64,44
553,Female,64,71,2
554,Male,63,45,9
555,Male,50,40,68
556,Male,64,122,15
557,Male,69,36,32
558,Female,19,32,87
559,Male,31,67,14
560,Female,26,56,60
561,Female,57,111,44
562,Male,55,101,81
563,Male,51,58,49
564,Male,62,98,2
565,Female,51,150,95
566,Male,68,60,19
567,Male,26,54,1
568,Male,40,70,81
569,Male,49,134,63
570,Male,51,78,32
571,Female,25,40,74
572,Male,70,107,29
573,Female,32,18,84
574,Male,55,89,92
575,Male,70,27,62
576,Female,29,136,77
577,Female,28,131,63
578,Female,26,66,62
579,Female,29,108,80
580,Male,52,78,57
581,Female,36,145,76
582,Male,44,20,66
583,Female,30,113,84
584,Male,34,68,96
585,Male,65,67,92
586,Female,21,98,89
587,Male,45,108,89
588,Male,29,122,74
589,Female,42,23,51
590,Male,64,101,24
591,Male,18,84,24
592,Male,46,25,34
593,Male,62,36,42
594,Male,50,81,77
595,Female,48,145,26
596,Female,41,97,11
597,Male,33,103,85
598,Male,42,69,39
599,Female,51,20,64
600,Female,63,72,14
601,Female,22,133,80
602,Male,40,112,11
603,Male,58,53,20
604,Male,23,44,87
605,Female,68,63,54
606,Female,68,104,65
607,Female,44,130,88
608,Male,60,125,94
609,Male,34,143,37
610,Male,65,72,82
611,Male,23,50,23
612,Male,22,117,96
613,Female,34,26,85
614,Male,57,109,82
615,Male,50,93,79
616,Female,54,72,2
617,Female,31,91,23
618,Male,32,123,74
619,Female,29,84,14
620,Male,19,70,80
621,Male,36,148,75
622,Male,37,68,68
623,Female,56,87,51
624,Male,34,39,33
625,Female,57,26,71
626,Female,46,95,42
627,Female,36,35,78
628,Female,66,117,50
629,Male,68,34,58
630,Female,55,53,78
631,Male,58,77,3
632,Female,65,16,96
633,Male,37,98,7
634,Female,28,134,70
635,Male,66,41,40
636,Female,26,113,83
637,Female,42,126,9
638,Female,47,116,22
639,Female,64,32,64
640,Male,51,107,45
641,Female,37,128,99
642,Male,58,31,86
643,Female,61,57,24
644,Female,70,24,19
645,Female,28,147,20
646,Female,37,44,96
647,Female,51,103,96
648,Female,61,46,65
649,Female,52,149,44
650,Male,20,25,83
651,Female,50,126,74
652,Female,45,21,60
653,Male,70,27,80
654,Female,28,58,52
655,Male,25,50,68
656,Male,65,133,40
657,Male,45,144,10
658,Female,32,122,14
659,Male,58,93,14
660,Female,24,96,97
661,Female,28,40,26
662,Male,47,47,45
663,Female,32,131,57
664,Female,23,113,17
665,Female,21,56,86
666,Female,67,105,69
667,Female,49,90,76
668,Male,57,144,46
669,Female,27,16,9
670,Female,67,91,98
671,Female,40,148,70
672,Male,65,28,92
673,Male,33,27,11
674,Male,47,111,49
675,Female,37,21,15
676,Male,35,146,46
677,Male,23,77,48
678,Female,34,114,61
679,Male,44,64,14
680,Female,53,62,27
681,Female,19,150,76
682,Female,20,18,17
683,Female,70,79,53
684,Male,39,22,69
685,Female,18,47,62
686,Female,41,97,67
687,Female,38,146,53
688,Male,46,140,98
689,Female,29,108,76
690,Male,43,52,41
691,Female,51,145,4
692,Female,70,142,68
693,Male,69,21,14
694,Female,18,28,39
695,Male,39,135,30
696,Female,61,98,19
697,Male,55,145,83
698,Female,69,21,11
699,Female,61,29,77
700,Female,43,112,48
701,Female,39,143,81
702,Male,58,102,23
703,Female,58,111,97
704,Female,37,127,15
705,Female,28,69,82
706,Male,44,19,11
707,Male,22,18,57
708,Male,44,74,15
709,Male,37,137,83
710,Male,65,53,41
711,Female,46,100,10
712,Female,54,99,23
713,Female,47,118,61
714,Female,55,122,34
715,Male,46,23,8
716,Female,20,45,97
717,Male,20,144,6
718,Male,64,66,5
719,Male,67,29,33
720,Female,39,104,3
721,Female,30,141,65
722,Male,60,149,9
723,Male,19,21,94
724,Male,38,25,38
725,Female,52,26,37
726,Female,32,35,30
727,Female,66,142,83
728,Female,49,55,35
729,Female,39,43,90
730,Male,64,87,80
731,Male,44,136,84
732,Female,18,28,5
733,Female,40,107,20
734,Female,37,66,55
735,Male,30,21,53
736,Male,52,25,67
737,Female,61,82,84
738,Male,64,81,71
739,Female,49,38,93
740,Female,38,129,18
741,Male,57,88,26
742,Female,45,47,20
743,Male,43,141,56
744,Female,25,88,18
745,Male,53,123,40
746,Male,63,53,14
747,Female,34,37,91
748,Female,29,127,56
749,Male,21,109,1
750,Male,70,98,94
751,Male,28,37,53
752,Female,35,130,91
753,Male,21,18,42
754,Male,42,108,21
755,Female,39,70,67
756,Male,19,73,38
757,Female,56,63,50
758,Female,36,107,76
759,Male,50,49,97
760,Male,21,122,94
761,Female,50,23,79
762,Male,20,63,71
763,Male,58,104,81
764,Male,34,77,10
765,Female,54,120,90
766,Male,26,138,79
767,Male,60,17,88
768,Male,46,130,51
769,Female,46,19,15
770,Female,60,41,13
771,Male,28,40,89
772,Female,46,86,69
773,Female,54,88,34
774,Male,47,25,34
775,Female,25,16,4
776,Male,62,27,25
777,Female,38,76,28
778,Female,41,95,85
779,Male,48,94,85
780,Male,65,101,93
781,Female,54,129,86
782,Male,43,84,30
783,Female,23,88,34
784,Female,54,43,19
785,Male,25,74,39
786,Female,55,67,77
787,Female,66,20,25
788,Female,30,146,86
789,Male,45,118,75
790,Male,56,111,81
791,Male,70,44,30
792,Female,58,85,8
793,Female,47,99,22
794,Female,27,117,19
795,Female,19,126,47
796,Female,70,119,61
797,Female,60,120,21
798,Male,68,60,19
799,Female,38,109,81
800,Male,36,140,97
801,Female,30,48,64
802,Male,45,99,90
803,Female,62,51,83
804,Female,18,118,64
805,Male,23,117,47
806,Female,22,62,81
807,Male,33,76,59
808,Male,65,20,4
809,Female,69,136,81
810,Male,28,142,32
811,Female,64,22,22
812,Female,52,79,76
813,Male,24,107,98
814,Male,57,76,38
815,Male,48,77,44
816,Female,50,52,41
817,Female,59,21,8
818,Female,48,57,5
819,Male,19,81,74
820,Male,47,62,5
821,Male,59,140,6
822,Male,25,114,4
823,Male,40,38,62
824,Female,24,89,13
825,Male,32,31,16
826,Female,22,64,52
827,Male,65,23,90
828,Female,28,58,95
829,Male,19,112,6
830,Female,66,145,11
831,Male,41,109,4
832,Female,18,47,55
833,Male,29,17,53
834,Male,70,58,1
835,Male,42,96,10
836,Female,38,133,9
837,Female,41,118,56
838,Female,27,75,44
839,Female,26,57,80
840,Female,52,34,97
841,Female,21,149,83
842,Female,30,131,54
843,Male,38,83,5
844,Female,49,84,84
845,Male,55,50,64
846,Female,33,126,85
847,Female,53,150,83
848,Male,36,133,1
849,Male,40,28,84
850,Female,54,127,45
851,Male,54,27,12
852,Female,66,66,10
853,Male,32,80,58
854,Female,47,133,61
855,Male,32,71,31
856,Female,49,29,21
857,Female,53,80,41
858,Female,70,57,3
859,Male,56,15,66
860,Female,67,89,3
861,Female,51,72,40
862,Male,37,95,1
863,Female,20,108,59
864,Male,66,82,60
865,Male,52,63,27
866,Male,26,85,81
867,Female,65,90,10
868,Male,26,113,29
869,Male,21,70,9
870,Male,64,106,86
871,Male,19,117,84
872,Female,70,32,22
873,Male,37,16,69
874,Female,63,98,47
875,Male,61,23,80
876,Female,28,70,36
877,Male,60,30,65
878,Female,26,148,30
879,Female,63,114,6
880,Female,70,146,77
881,Female,26,15,77
882,Female,50,124,12
883,Male,18,73,28
884,Male,59,79,65
885,Male,51,128,71
886,Female,25,76,60
887,Female,19,74,21
888,Female,66,29,32
889,Female,19,106,43
890,Female,60,44,15
891,Female,59,58,22
892,Female,37,121,65
893,Female,26,116,42
894,Female,38,34,92
895,Female,19,16,7
896,Female,57,48,45
897,Male,37,139,39
898,Male,43,52,61
899,Male,58,105,62
900,Male,35,66,96
901,Female,64,40,63
902,Male,54,78,64
903,Female,61,38,92
904,Male,19,54,41
905,Female,44,132,62
906,Female,39,130,11
907,Male,39,59,96
908,Male,30,127,72
909,Female,45,140,2
910,Male,66,116,76
911,Male,23,17,64
912,Male,62,102,18
913,Male,55,64,30
914,Female,20,119,48
915,Female,25,79,43
916,Male,59,102,22
917,Male,51,100,69
918,Female,44,85,65
919,Male,20,145,51
920,Male,42,76,51
921,Male,62,43,90
922,Male,47,18,88
923,Male,23,137,83
924,Male,36,27,21
925,Male,35,150,58
926,Male,33,84,68
927,Female,62,80,46
928,Female,19,148,53
929,Female,25,120,2
930,Male,70,111,50
931,Male,35,97,50
932,Male,59,124,66
933,Male,59,80,81
934,Female,67,96,30
935,Male,23,99,79
936,Female,29,32,76
937,Female,40,74,48
938,Male,44,49,63
939,Male,29,56,77
940,Male,21,26,55
941,Male,67,28,8
942,Male,32,27,68
943,Female,70,55,49
944,Male,44,144,7
945,Male,65,116,1
946,Male,56,110,28
947,Male,57,108,27
948,Female,68,49,48
949,Female,40,35,57
950,Female,42,95,93
951,Female,53,63,2
952,Male,51,116,99
953,Male,60,62,43
954,Female,39,25,48
955,Female,55,77,86
956,Male,34,46,97
957,Female,56,60,6
958,Male,46,88,87
959,Female,55,100,16
960,Male,52,135,8
961,Male,55,96,86
962,Male,21,68,26
963,Female,45,78,15
964,Male,52,147,96
965,Male,27,88,44
966,Male,57,124,16
967,Female,33,37,6
968,Female,38,24,79
969,Female,29,150,64
970,Male,59,72,80
971,Male,39,88,65
972,Male,45,35,61
973,Female,50,50,99
974,Female,49,34,12
975,Female,51,136,77
976,Female,29,88,51
977,Female,61,99,89
978,Male,26,126,7
979,Female,26,115,76
980,Female,19,77,89
981,Female,50,118,15
982,Female,55,96,41
983,Female,25,54,64
984,Female,69,58,12
985,Male,42,87,67
986,Male,23,81,38
987,Female,41,82,18
988,Female,64,141,82
989,Male,47,83,16
990,Female,61,77,42
991,Female,28,108,96
992,Male,69,46,54
993,Female,43,18,97
994,Male,38,146,94
995,Female,45,122,82
996,Female,49,105,34
997,Female,54,136,98
998,Male,47,102,70
999,Male,28,17,91
1000,Female,22,65,12
1402,Female,38,15,35
1945,Female,44,33,70
1546,Male,36,56,68
1032,Female,49,123,97
1403,Female,36,81,96
1079,Male,30,119,94
1180,Female,47,62,17
1938,Male,50,149,77
1349,Male,61,19,69
1896,Male,46,125,6
1643,Male,25,117,23
1371,Male,59,137,9
1007,Male,70,76,76
1176,Male,28,29,13
1114,Female,24,49,87
1849,Female,38,57,35
1523,Female,44,27,55
1505,Female,22,122,42
1258,Male,38,148,87
1880,Female,70,97,98
1887,Male,38,135,75
1067,Female,65,26,54
1182,Male,42,131,37
1723,Male,68,138,64
1916,Female,63,22,48
1512,Female,42,126,12
1522,Female,47,123,88
1723,Male,21,124,90
1464,Female,60,127,35
1009,Female,64,45,94
1489,Female,34,101,64
1952,Female,54,106,99
1316,Female,24,130,48
1594,Female,68,137,32
1569,Female,70,38,20
1539,Female,59,121,45
1020,Female,50,24,34
1213,Female,45,31,14
1899,Female,39,18,35
1427,Female,55,110,47
1200,Male,66,133,73
1386,Male,37,138,5
1747,Male,55,147,85
1775,Male,49,59,79
1736,Male,19,90,1
1737,Male,48,115,11
1770,Male,70,124,82
1014,Male,41,67,64
1906,Male,66,21,58
1833,Female,37,102,43
1718,Male,62,66,69
1550,Female,40,69,60
1878,Female,23,18,72
1358,Female,49,72,53
1938,Male,51,76,95
1837,Female,50,148,63
1344,Male,57,104,57
1804,Female,58,58,7
1476,Female,66,22,30
1460,Male,36,90,63
1412,Male,65,112,41
1407,Male,54,123,59
1798,Male,36,41,29
1619,Female,53,79,85
1061,Female,56,109,16
1821,Male,46,93,74
1604,Female,22,46,67
1173,Female,24,25,12
1593,Male,53,139,39
1657,Male,47,34,33
1434,Female,30,123,55
1204,Female,61,25,46
1301,Male,56,51,39
1324,Female,48,21,59
1701,Male,40,130,5
1660,Male,52,98,64
1194,Female,34,96,69
1487,Female,61,104,28
1394,Female,51,42,95
1801,Male,47,57,13
1616,Female,21,135,7
1333,Male,47,45,74
1020,Male,56,87,52
1201,Female,31,31,53
1811,Male,53,137,96
1148,Male,58,50,78
1695,Female,52,40,69
1805,Female,45,103,12
1558,Female,31,69,52
1357,Male,34,45,25
1793,Male,42,37,39
1325,Male,28,127,55
1204,Female,41,35,96
1915,Female,61,81,92
1806,Male,42,64,44
1906,Female,19,136,93
1957,Male,65,98,37
1096,Male,46,70,86
1008,Male,58,88,92
1934,Male,45,107,60
1040,Male,60,71,32
1708,Male,37,45,74
1289,Female,44,138,7
1180,Male,19,73,14
1304,Female,64,67,33
1092,Female,62,62,38
1864,Female,34,138,13
1194,Female,60,131,72
1381,Female,41,80,79
1803,Male,28,55,19
1049,Male,69,73,7
1814,Female,21,125,32
1986,Female,63,120,25
1518,Female,41,109,84
1629,Female,62,107,81
1160,Female,26,89,59
1989,Female,23,149,53
1779,Female,31,63,60
1182,Male,26,109,90
1446,Male,53,103,73
1598,Female,64,62,27
1430,Female,58,60,87
1467,Male,60,33,3
1874,Female,37,34,24
1109,Female,29,145,88
1675,Female,42,126,66
1041,Female,37,36,37
1739,Male,44,147,9
1709,Female,36,72,47
1585,Female,47,17,42
1494,Male,37,125,11
1726,Male,69,15,88
1009,Female,40,135,40
1695,Male,46,73,56
1086,Female,59,19,23
1291,Male,50,110,31
1209,Female,52,94,19
1287,Female,21,62,44
1338,Female,35,43,66
1524,Male,32,34,54
1429,Female,24,36,49
1825,Male,47,115,33
1210,Female,23,86,73
1074,Female,62,120,75
1187,Female,65,111,23
1089,Female,70,60,4
1996,Male,65,46,38
1544,Male,33,85,89
1333,Female,70,22,44
1266,Male,68,97,44
1754,Male,32,89,85
1433,Female,61,39,48
1613,Female,60,44,88
1547,Female,46,82,89
1857,Female,41,31,32
1040,Female,39,54,58
1730,Male,52,26,13
1989,Male,31,88,75
1410,Female,34,144,95
1733,Female,47,30,86
1912,Female,68,77,37
1351,Male,24,61,34
1451,Male,42,143,52
1083,Male,18,67,46
1489,Male,26,132,20
1628,Male,33,120,28
1559,Male,29,103,95
1985,Female,51,144,79
1596,Female,44,60,36
1712,Male,65,125,16
1701,Female,25,113,31
1821,Female,45,78,40
1266,Female,30,118,40
1374,Female,47,131,43
1962,Female,40,19,42
1527,Male,30,56,69
1237,Female,38,116,94
1356,Male,34,101,51
1384,Female,45,27,78
1600,Male,64,25,15
1248,Female,37,46,10
1325,Female,19,65,54
1508,Female,65,29,23
1396,Male,64,51,35
1184,Male,34,71,9
1640,Female,37,125,50
1464,Male,28,104,86
1787,Male,18,71,3
1832,Male,59,78,80
1331,Male,55,64,21
1755,Female,19,128,44
1160,Male,65,32,59
1666,Male,38,55,99
1109,Female,54,55,3
1606,Male,47,60,2
1035,Female,70,110,40
1435,Male,60,130,69
1331,Female,62,86,23
1448,Male,33,137,95
1470,Female,70,44,27
1820,Female,36,80,98
1465,Female,58,91,47
1973,Male,53,45,2
1438,Male,41,118,14
1223,Female,19,23,5
1796,Female,30,77,68
1607,Female,35,58,86
1306,Male,43,73,68
1603,Female,32,52,48
1169,Female,20,62,8
1501,Male,25,117,28
1319,Male,28,126,68
1860,Female,37,127,5
1384,Female,18,95,34
1696,Male,19,150,92
1837,Male,69,112,90
1253,Male,27,62,84
1011,Male,20,99,73
1901,Female,53,54,34
1747,Male,20,92,90
1012,Female,41,42,19
1544,Female,63,19,10
1431,Male,53,107,62
1068,Male,28,19,26
1207,Female,53,25,67
1553,Female,52,108,60
1780,Male,44,31,90
1245,Male,25,125,59
1665,Female,46,114,54
1267,Male,21,49,46
1083,Female,48,21,73
1022,Female,38,67,64
1219,Female,35,66,93
1143,Female,44,112,77
1538,Female,65,83,33
1566,Male,29,70,65
1544,Female,21,89,71
1347,Female,34,144,52
1162,Female,45,48,6
1258,Male,44,105,57
1075,Male,58,24,13
1419,Male,21,106,1
1665,Female,63,141,54
1368,Male,23,129,51
1070,Female,22,110,10
